IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20240929_44_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60583.041659,1.733785,1.806319,60.0,2024-09-30T00:59:59.323
h_e_20240930_111_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60584.035112,1.518336,1.844828,60.0,2024-10-01T00:50:33.697
h_e_20241001_62_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60585.045262,1.737144,1.72571,30.0,2024-10-02T01:05:10.653
h_e_20241003_179_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60587.010587,3.031708,2.048025,30.0,2024-10-04T00:15:14.713
h_e_20241003_205_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60587.076619,2.629247,1.515549,30.0,2024-10-04T01:50:19.855
h_e_20241004_118_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60588.021508,1.293697,1.873735,30.0,2024-10-05T00:30:58.268
h_e_20241004_158_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60588.074806,1.314696,1.512195,30.0,2024-10-05T01:47:43.212
h_e_20241005_134_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60589.041847,1.673447,1.669114,45.0,2024-10-06T01:00:15.581
h_e_20241005_137_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60589.082422,1.158872,1.47919,30.0,2024-10-06T01:58:41.247
h_e_20241005_163_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60589.129999,1.121955,1.430894,45.0,2024-10-06T03:07:11.874
h_e_20241006_88_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60590.002512,1.985684,2.046312,30.0,2024-10-07T00:03:37.076
h_e_20241006_114_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60590.067742,1.290629,1.518125,30.0,2024-10-07T01:37:32.932
h_e_20241006_195_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60590.216896,1.366101,1.840894,45.0,2024-10-07T05:12:19.834
h_e_20241007_80_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60591.07008,1.690886,1.500111,30.0,2024-10-08T01:40:54.914
h_e_20241008_55_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60592.078133,2.644875,1.469049,30.0,2024-10-09T01:52:30.680
h_e_20241009_75_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60593.067916,1.112291,1.489613,30.0,2024-10-10T01:37:47.950
h_e_20241010_78_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60594.096223,0.840885,1.431987,30.0,2024-10-11T02:18:33.646
h_e_20241011_80_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60595.055751,1.690679,1.511958,30.0,2024-10-12T01:20:16.847
h_e_20241012_6_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60596.075013,2.237432,1.452312,30.0,2024-10-13T01:48:01.147
h_e_20241013_138_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60597.088875,1.410195,1.431393,30.0,2024-10-14T02:07:58.780
h_e_20241016_28_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60600.045987,1.513634,1.498553,60.0,2024-10-17T01:06:13.270
h_e_20241017_41_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60601.051137,1.559386,1.475219,90.0,2024-10-18T01:13:38.210
h_e_20241018_36_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60602.040771,1.329644,1.497726,90.0,2024-10-19T00:58:42.586
h_e_20241019_64_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60603.121285,1.60635,1.480485,90.0,2024-10-20T02:54:38.991
h_e_20241021_43_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60605.040978,1.737431,1.473229,90.0,2024-10-22T00:59:00.490
h_e_20241022_68_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60606.031818,1.676895,1.491479,90.0,2024-10-23T00:45:49.076
h_e_20241023_75_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60607.089234,1.628258,1.438595,90.0,2024-10-24T02:08:29.859
h_e_20241024_62_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60608.022577,1.291594,1.503798,90.0,2024-10-25T00:32:30.662
h_e_20241028_31_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60612.066037,1.392749,1.430183,120.0,2024-10-29T01:35:05.632
h_e_20241028_32_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60612.067865,1.471152,1.431378,120.0,2024-10-29T01:37:43.496
